Sector,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
"TEXTILES (INCLUDING DYED,PRINTED)",2.06,5.28,54.18,9.34,43.04,94.33,126.9,185.4,157.52,150.27,129.65,164.19,103.89,198.86,197.42,230.13,618.95
PAPER AND PULP (INCLUDING PAPER PRODUCTS),60.04,16.7,7.36,7.15,2.7,27.38,5.08,31.24,272.51,16.42,6.53,407.35,5.09,26.86,116.21,85.21,197.61
SUGAR,0,0,3.97,0,2.94,3,9.85,10.07,5.01,0.1,0.17,4.44,12.26,3.08,27.77,105.85,15.92
FERMENTATION INDUSTRIES,16.02,11.04,8.07,1.7,139,169.83,27.58,270.05,144.7,112.02,57.71,69.7,107.21,814.58,225.38,202.36,110.86
FOOD PROCESSING INDUSTRIES,45.75,219.39,36.88,109.22,43.98,41.74,102,70.17,102.71,278.89,188.67,170.21,401.46,3982.89,515.86,505.88,727.22
VEGETABLE OILS AND VANASPATI,0,0,0,1.69,9.09,12.31,16.22,1.53,42.88,69.74,58.07,65.02,108.39,21.55,148.34,34.22,108.45
"SOAPS, COSMETICS & TOILET PREPARATIONS",0,0,0,0,0.89,87.42,6.04,6.38,22.03,24.58,102.9,222.08,160.07,108.44,177.22,193.26,92.6
RUBBER GOODS,0.1,46.39,16.42,6.37,40.06,34.09,18.75,15.12,84.88,24.12,17.21,187.37,642.18,370.54,284.51,296.15,262.76
"LEATHER,LEATHER GOODS AND PICKERS",9.75,0.2,0.01,7.55,0.44,1.11,8.26,7.46,3.32,5.06,9.26,8.3,46.7,6.14,34.21,17.13,2.3
GLUE AND GELATIN,0,0.94,5.22,0,0,0,0,2.28,0,0.27,0.01,5.84,0,0.97,21.44,0.82,90.6
GLASS,33.87,8.37,44.98,5.24,8.36,0.81,1.43,11.04,23.16,2.83,7.6,32.22,209.16,43.09,41.82,25.78,51.69
CERAMICS,4.03,0.78,0.21,1.47,26.79,5.67,122.23,115.11,198.43,7.21,12,9.87,4.33,150.09,35.29,51.21,15.4
CEMENT AND GYPSUM PRODUCTS,67.72,139.9,21.08,9.58,0.16,452.08,242.47,16.89,724.8,33.8,637.68,267.9,12.38,254.01,208.99,19.69,2130.1
TIMBER PRODUCTS,0,0.05,0.04,0.11,0.07,0.33,0,0.39,11.27,6.54,1.58,29.6,29.17,6.16,8.97,53.17,10.23
DEFENCE INDUSTRIES,0,0,0,0,0.05,0,0,0,0,0,0,3.66,0.41,0.82,0.08,0.1,0
CONSULTANCY SERVICES,4.25,66.22,25.7,46.2,252.42,47.4,114.68,233.32,256.59,341.31,274.84,289.89,142.32,285.85,458.13,517.47,261.14
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",71.38,187.95,296.34,271.15,456.15,548.61,4713.78,6986.17,6183.49,4174.53,3296.09,5215.98,4832.98,2225.1,4443.26,6889.46,8684.07
HOSPITAL & DIAGNOSTIC CENTRES,0,6.93,29.13,24.08,26.19,32.53,38.14,241.76,239.71,135.57,256,310.43,256.86,684.58,567.85,742.35,747.38
EDUCATION,0,0,0,0.19,1.97,3.16,41.81,43.59,214.52,63.35,37.94,105.62,172.2,262.09,78.86,230.78,160.12
HOTEL & TOURISM,13.2,32.12,33.75,49.36,37.01,71.78,195.66,421.47,463.92,753.02,308.05,992.86,3259.05,486.38,777.01,1332.69,916.13
TRADING,11.49,43.27,38.13,31.12,14.22,28.93,114.65,345.02,643.64,737.95,498.04,731.55,717.8,1343.39,2727.96,3845.32,2338.4
RETAIL TRADING,0,0,0,0,0,0,0,1.27,0.09,13.73,26.27,31.7,22.31,11.3,168.72,262.24,450.94
AGRICULTURE SERVICES,17.52,14.06,11.01,0.59,3.83,9.08,12.53,58.13,5.35,1222.22,43.9,49.02,161.47,91.01,59.95,84.65,76.43
"DIAMOND,GOLD ORNAMENTS",18.83,0.36,1.3,1.96,8.58,15.52,61.97,59.15,83.5,31.08,19.59,36.3,52.61,42.56,280.18,58.54,123.92
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),20.23,0.14,0,0.32,0.01,1.43,6.2,18.94,37.08,8.15,3.12,5.32,0.27,5.86,1.43,1.12,1.6
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),0,0,6.3,0,0.06,9.9,20.04,35.54,31.61,70.51,36.63,47.39,14.34,113.78,72.58,122.81,53.17
COIR,0,0,0,0,0.47,0.59,0.04,0.01,0,0.25,0.1,0.55,0.15,0.54,1.36,0,0
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,0,0,0,0,0,0.93,64.06,182.92,172.7,324.56,675.07,386.28,283.89,485.37,870.25,4510.71,1860.73
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",24.33,51.75,36.1,47.04,152.06,228.71,1392.95,3887.33,4657.51,5466.13,1663.03,3140.78,1332.49,1226.05,769.14,112.55,105.14
MISCELLANEOUS INDUSTRIES,832.07,221.37,218.76,235.48,121.83,164.76,304.87,528.42,1549.7,1147.56,1475.97,813.38,229.49,468.74,765.88,668.77,296.4
