company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap
Intel,45,-2.0,71965.0,21048.0,110800,Technology,Santa Clara,CA,no,no,no,yes,43.0,Patrick P. Gelsinger,https://www.intel.com,INTC,202996
Facebook,46,11.0,70697.0,18485.0,44942,Technology,Menlo Park,CA,no,yes,no,yes,57.0,Mark Zuckerberg,https://investor.fb.com,FB,768185
FedEx,47,0.0,69693.0,540.0,389500,Transportation,Memphis,TN,no,yes,no,yes,47.0,Frederick W. Smith,https://www.fedex.com,FDX,66788
MetLife,48,-4.0,69620.0,5899.0,49000,Financials,New York,NY,no,no,no,yes,44.0,Michel A. Khalaf,https://www.metlife.com,MET,46483
Walt Disney,49,4.0,69570.0,11054.0,223000,Media,Burbank,CA,no,no,no,yes,53.0,Robert A. Chapek,https://www.thewaltdisneycompany.com,DIS,315029
Procter & Gamble,50,-5.0,67684.0,3897.0,97000,Household Products,Cincinnati,OH,no,no,no,yes,45.0,David S. Taylor,https://www.pginvestor.com,PG,324875
PepsiCo,51,-3.0,67161.0,7314.0,267000,"Food, Beverages & Tobacco",Purchase,NY,no,no,no,yes,48.0,Ramon L. Laguarta,https://www.pepsico.com,PEP,195312
Humana,52,4.0,64888.0,2707.0,46000,Health Care,Louisville,KY,no,no,no,yes,56.0,Bruce D. Broussard,https://www.humana.com,HUM,54438
Prudential Financial (U.S.),53,-3.0,64807.0,4186.0,51511,Financials,Newark,NJ,no,no,no,yes,50.0,Charles F. Lowrey,https://www.prudential.com,PRU,33268
Archer Daniels Midland,54,-5.0,64656.0,1379.0,38100,"Food, Beverages & Tobacco",Chicago,IL,no,no,no,yes,49.0,Juan R. Luciano,https://www.adm.com,ADM,29767
Albertsons,55,-3.0,60534.5,131.1,267000,Food & Drug Stores,Boise,ID,no,no,no,yes,52.0,Vivek Sankaran,https://www.albertsonscompanies.com,ACI,7118
Sysco,56,-2.0,60113.9,1674.3,69000,Wholesalers,Houston,TX,no,no,no,yes,54.0,Kevin P. Hourican,https://www.sysco.com,SYY,26828
Lockheed Martin,57,3.0,59812.0,6230.0,110000,Aerospace & Defense,Bethesda,MD,no,no,no,yes,60.0,James D. Taiclet Jr.,https://www.lockheedmartin.com,LMT,95594
HP,58,-3.0,58756.0,3152.0,56000,Technology,Palo Alto,CA,no,no,no,yes,55.0,Enrique J. Lores,https://www8.hp.com,HPQ,32499
Energy Transfer,59,0.0,54213.0,3592.0,12812,Energy,Dallas,TX,no,no,no,yes,59.0,Mackie McCrea/Tom Long,https://www.energytransfer.com,ET,17648
Goldman Sachs Group,60,2.0,53922.0,8466.0,38300,Financials,New York,NY,no,no,no,yes,62.0,David M. Solomon,https://www.goldmansachs.com,GS,104183
Morgan Stanley,61,2.0,53823.0,9042.0,60431,Financials,New York,NY,no,no,no,yes,63.0,James P. Gorman,https://www.morganstanley.com,MS,135401
Caterpillar,62,-4.0,53800.0,6093.0,102300,Industrials,Deerfield,IL,no,no,no,yes,58.0,D. James Umpleby III,https://www.caterpillar.com,CAT,104491
Cisco Systems,63,1.0,51904.0,11621.0,75900,Technology,San Jose,CA,no,no,no,yes,64.0,Charles H. Robbins,https://www.cisco.com,CSCO,191585
Pfizer,64,-3.0,51750.0,16273.0,88300,Health Care,New York,NY,no,no,no,yes,61.0,Albert Bourla,https://www.pfizer.com,PFE,202882
HCA Healthcare,65,2.0,51336.0,3505.0,245000,Health Care,Nashville,TN,no,no,no,yes,67.0,Samuel N. Hazen,https://www.hcahealthcare.com,HCA,56831
American International Group,66,0.0,49746.0,3348.0,46000,Financials,New York,NY,no,no,no,yes,66.0,Peter S. Zaffino,https://www.aig.com,AIG,27682
American Express,67,5.0,47020.0,6759.0,64500,Financials,New York,NY,no,no,no,yes,72.0,Stephen J. Squeri,https://www.americanexpress.com,AXP,103823
Delta Air Lines,68,1.0,47007.0,4767.0,91224,Transportation,Atlanta,GA,no,no,no,yes,69.0,Edward H. Bastian,https://www.delta.com,DAL,26543
Merck,69,7.0,46840.0,9843.0,71000,Health Care,Kenilworth,NJ,no,no,no,yes,76.0,Kenneth C. Frazier,https://www.merck.com,MRK,208627
American Airlines Group,70,-2.0,45768.0,1686.0,133700,Transportation,Fort Worth,TX,no,no,no,yes,68.0,W. Douglas Parker,https://www.aa.com,AAL,5655
Charter Communications,71,-1.0,45764.0,1668.0,95100,Telecommunications,Stamford,CT,no,no,no,yes,70.0,Thomas M. Rutledge,https://www.charter.com,CHTR,137205
Allstate,72,10.0,44675.0,4847.0,46035,Financials,Northbrook,IL,no,no,no,yes,82.0,Thomas J. Wilson,https://www.allstate.com,ALL,33752
New York Life Insurance,73,-2.0,44116.6,1003.8,11519,Financials,New York,NY,no,no,no,yes,71.0,Theodore A. Mathas,https://www.newyorklife.com,,-
Nationwide,74,-1.0,43982.0,829.7,28114,Financials,Columbus,OH,no,no,no,yes,73.0,Kirt A. Walker,https://www.nationwide.com,,
Best Buy,75,-1.0,43638.0,1541.0,125000,Retailing,Richfield,MN,no,no,yes,yes,74.0,Corie Barry,https://investors.bestbuy.com/investor-relations/overview/default.aspx,BBY,29062
United Airlines Holdings,76,2.0,43259.0,3009.0,96000,Transportation,Chicago,IL,no,no,no,yes,78.0,J. Scott Kirby,https://www.united.com,UAL,9114
Liberty Mutual Insurance Group,77,-2.0,43228.0,1044.0,45000,Financials,Boston,MA,no,no,no,yes,75.0,David H. Long,https://www.libertymutual.com,,
Dow,78,0.0,42951.0,-1359.0,36500,Chemicals,Midland,MI,yes,no,no,no, ,James R. Fitterling,https://www.dow.com,DOW,30430
Tyson Foods,79,1.0,42405.0,2022.0,141000,"Food, Beverages & Tobacco",Springdale,AR,no,no,no,yes,80.0,Dean Banks,https://www.tysonfoods.com,TSN,24169
TJX,80,5.0,41717.0,3272.2,286000,Retailing,Framingham,MA,no,no,no,yes,85.0,Ernie L. Herrman,https://www.tjx.com,TJX,81992
TIAA,81,-2.0,40454.4,2460.1,16533,Financials,New York,NY,no,no,no,yes,79.0,Roger W. Ferguson Jr.,https://www.tiaa-cref.org,,-
Oracle,82,-1.0,39506.0,11083.0,136000,Technology,Redwood City,CA,no,no,yes,yes,81.0,Safra A. Catz,https://www.oracle.com,ORCL,170158
General Dynamics,83,9.0,39350.0,3484.0,102900,Aerospace & Defense,Reston,VA,no,no,yes,yes,92.0,Phebe N. Novakovic,https://www.gd.com,GD,44203
Deere,84,3.0,39258.0,3253.0,73489,Industrials,Moline,IL,no,no,no,yes,87.0,John C. May,https://www.deere.com,DE,94622
Nike,85,5.0,39117.0,4029.0,76700,Apparel,Beaverton,OR,no,no,no,yes,90.0,John J. Donahoe II,https://www.nike.com,NKE,225123
Progressive,86,13.0,39022.3,3970.3,41571,Financials,Mayfield Village,OH,no,no,yes,yes,99.0,Susan Patricia Griffith,https://www.progressive.com,PGR,56224
Publix Super Markets,87,4.0,38462.8,3005.4,207000,Food & Drug Stores,Lakeland,FL,no,no,no,yes,91.0,Randall T. Jones Sr.,https://www.publix.com,,-
Coca-Cola,88,12.0,37266.0,8920.0,86200,"Food, Beverages & Tobacco",Atlanta,GA,no,no,no,yes,100.0,James R. Quincey,https://www.coca-colacompany.com,KO,209200
Massachusetts Mutual Life,89,-5.0,37253.4,3700.7,9896,Financials,Springfield,MA,no,no,no,yes,84.0,Roger W. Crandall,https://www.massmutual.com,,-
Tech Data,90,-2.0,36998.4,374.5,15000,Wholesalers,Clearwater,FL,no,no,no,yes,88.0,Richard T. Hume,https://www.techdata.com,TECD,-
World Fuel Services,91,-8.0,36819.0,178.9,5500,Energy,Miami,FL,no,no,no,yes,83.0,Michael J. Kasbar,https://www.wfscorp.com,INT,1489
Honeywell International,92,-15.0,36709.0,6143.0,113000,Industrials,Charlotte,NC,no,no,no,yes,77.0,Darius E. Adamczyk,https://www.honeywell.com,HON,146007
ConocoPhillips,93,-7.0,36670.0,7189.0,10400,Energy,Houston,TX,no,no,no,yes,86.0,Ryan M. Lance,https://www.conocophillips.com,COP,61446
USAA,94,7.0,35617.4,4006.3,35076,Financials,San Antonio,TX,no,no,no,yes,101.0,Wayne Peacock,https://www.usaa.com,,-
Exelon,95,-2.0,34438.0,2936.0,32713,Energy,Chicago,IL,no,no,no,yes,93.0,Christopher M. Crane,https://www.exeloncorp.com,EXC,41928
Northrop Grumman,96,12.0,33841.0,2248.0,90000,Aerospace & Defense,Falls Church,VA,no,no,yes,yes,108.0,Kathy J. Warden,https://www.northropgrumman.com,NOC,49812
Capital One Financial,97,1.0,33766.0,5546.0,51900,Financials,McLean,VA,no,yes,no,yes,98.0,Richard D. Fairbank,https://www.capitalone.com,COF,50946
Plains GP Holdings,98,-4.0,33669.0,331.0,5000,Energy,Houston,TX,no,no,no,yes,94.0,Wilfred C.W. Chiang,https://www.plainsallamerican.com,PAGP,1463
AbbVie,99,-3.0,33266.0,7882.0,30000,Health Care,North Chicago,IL,no,no,no,yes,96.0,Richard A. Gonzalez,https://www.abbvie.com,ABBV,198828
StoneX Group,100,12.0,32897.0,85.1,2012,Financials,New York,NY,no,no,no,yes,112.0,Sean O'Connor,https://www.stonex.com,SNEX,988
Enterprise Products Partners,101,-12.0,32789.2,4591.3,7300,Energy,Houston,TX,no,no,no,yes,89.0,A. James Teague /W. Randall Fowler,https://www.enterpriseproducts.com,EPD,38472
Northwestern Mutual,102,9.0,32293.6,1268.0,5964,Financials,Milwaukee,WI,no,no,no,yes,111.0,John E. Schlifske,https://www.northwesternmutual.com,,-
3M,103,-8.0,32136.0,4570.0,96163,Chemicals,St. Paul,MN,no,no,no,yes,95.0,Michael F. Roman,https://www.3m.com,MMM,98187
Abbott Laboratories,104,-1.0,31904.0,3687.0,107000,Health Care,Abbott Park,IL,no,no,no,yes,103.0,Robert B. Ford,https://www.abbott.com,ABT,200082
CHS,105,-8.0,31900.5,829.9,10703,"Food, Beverages & Tobacco",Inver Grove Heights,MN,no,no,no,yes,97.0,Jay D. Debertin,https://www.chsinc.com,,
Travelers Cos.,106,0.0,31581.0,2622.0,30800,Financials,New York,NY,no,no,no,yes,106.0,Alan D. Schnitzer,https://www.travelers.com,TRV,36735
Philip Morris International,107,3.0,29805.0,7185.0,73500,"Food, Beverages & Tobacco",New York,NY,no,no,no,yes,110.0,André Calantzopoulos,https://www.pmi.com,PM,119615
Raytheon,108,6.0,29176.0,3343.0,70000,Aerospace & Defense,Waltham,MA,no,no,no,yes,114.0,Roy A. Azevedo/Wesley D. Kramer,https://www.rtx.com,,36517.5
Hewlett Packard Enterprise,109,-7.0,29135.0,1049.0,61600,Technology,San Jose,CA,no,no,no,yes,102.0,Antonio F. Neri,https://www.hpe.com,HPE,15962
Arrow Electronics,110,-1.0,28916.8,-204.1,19300,Wholesalers,Centennial,CO,no,no,no,no,109.0,Michael J. Long,https://www.arrow.com,ARW,8075
ViacomCBS,111,106.0,27812.0,3308.0,26280,Media,New York,NY,no,no,no,yes,217.0,Robert M. Bakish,https://www.viacbs.com,VIAC,16130
Dollar General,112,7.0,27754.0,1712.6,143000,Retailing,Goodlettsville,TN,no,no,no,yes,119.0,Todd J. Vasos,https://www.dollargeneral.com,DG,47928
U.S. Bancorp,113,4.0,27325.0,6914.0,69651,Financials,Minneapolis,MN,no,no,no,yes,117.0,Andrew J. Cecere,https://www.usbank.com,USB,68690
Starbucks,114,7.0,26508.6,3599.2,346000,"Hotels, Restaurants & Leisure",Seattle,WA,no,no,no,yes,121.0,Kevin R. Johnson,https://www.starbucks.com,SBUX,123779
Bristol-Myers Squibb,115,23.0,26145.0,3439.0,30000,Health Care,New York,NY,no,no,no,yes,138.0,Giovanni Caforio,https://www.bms.com,BMY,149709
US Foods Holding,116,9.0,25939.0,385.0,28000,Wholesalers,Rosemont,IL,no,no,no,yes,125.0,Pietro Satriano,https://www.usfoods.com,USFD,4472
Mondelez International,117,-1.0,25868.0,3870.0,80000,"Food, Beverages & Tobacco",Deerfield,IL,no,no,no,yes,116.0,Dirk Van de Put,https://www.mondelezinternational.com,MDLZ,81663
Paccar,118,12.0,25599.7,2387.9,27000,Industrials,Bellevue,WA,no,no,no,yes,130.0,R. Preston Feight,https://www.paccar.com,PCAR,30969
Thermo Fisher Scientific,119,5.0,25542.0,3696.0,75000,Technology,Waltham,MA,no,no,no,yes,124.0,Marc N. Casper,https://www.thermofisher.com,TMO,204446
Macy&#8217;s,120,-2.0,25331.0,564.0,123000,Retailing,New York,NY,no,no,no,yes,118.0,Jeffrey Gennette,https://www.macysinc.com,M,1520.4
Jabil,121,19.0,25282.3,287.1,200000,Technology,St. Petersburg,FL,no,no,no,yes,140.0,Mark T. Mondello,https://www.jabil.com,JBL,3738.4
Kraft Heinz,122,-7.0,24977.0,1935.0,37000,"Food, Beverages & Tobacco",Chicago,IL,no,no,no,yes,115.0,Miguel Patricio,https://www.kraftheinzcompany.com,KHC,30226.3
Duke Energy,123,3.0,24658.0,3748.0,28793,Energy,Charlotte,NC,no,no,yes,yes,126.0,Lynn J. Good,https://www.duke-energy.com,DUK,66815
Tesla,124,20.0,24578.0,-862.0,48016,Motor Vehicles & Parts,Palo Alto,CA,no,yes,no,no,144.0,Elon Musk,https://www.tesla.com,TSLA,806143
PBF Energy,125,-12.0,24508.2,319.4,3442,Energy,Parsippany,NJ,no,no,no,yes,113.0,Thomas J. Nimbley,https://www.pbfenergy.com,PBF,848.1
Qualcomm,126,11.0,24273.0,4386.0,37000,Technology,San Diego,CA,no,no,no,yes,137.0,Steven M. Mollenkopf,https://www.qualcomm.com,QCOM,186163
NGL Energy Partners,127,52.0,24087.8,360.0,1300,Energy,Tulsa,OK,no,no,no,yes,179.0,H. Michael Krimbill,https://www.nglenergypartners.com,NGL,333.7
CBRE Group,128,18.0,23894.1,1282.4,100000,Financials,Los Angeles,CA,no,no,no,yes,146.0,Robert E. Sulentic,https://www.cbre.com,CBRE,21772
Baker Hughes,129,0.0,23838.0,128.0,68000,Energy,Houston,TX,yes,no,no,yes, ,Lorenzo Simonelli,https://www.bakerhughes.com,BKR,10827.3
Synnex,130,28.0,23757.3,500.7,240900,Wholesalers,Fremont,CA,no,no,no,yes,158.0,Dennis Polk,https://www.synnexcorp.com,SNX,4629
Dollar Tree,131,4.0,23610.8,827.0,125000,Retailing,Chesapeake,VA,no,no,no,yes,135.0,Michael A. Witynski,https://www.dollartree.com,DLTR,17398.5
Cummins,132,-4.0,23571.0,2260.0,61615,Industrials,Columbus,IN,no,no,no,yes,128.0,N. Thomas Linebarger,https://www.cumminseurope.com/,CMI,35008
United Natural Foods,133,177.0,23481.1,-285.0,19000,Wholesalers,Providence,RI,no,no,no,no,310.0,Steven L. Spinner,https://www.unfi.com,UNFI,492.2
Micron Technology,134,-29.0,23406.0,6313.0,37000,Technology,Boise,ID,no,no,no,yes,105.0,Sanjay Mehrotra,https://www.micron.com,MU,46778.5
Amgen,135,-6.0,23362.0,7842.0,23400,Health Care,Thousand Oaks,CA,no,no,no,yes,129.0,Robert A. Bradway,https://www.amgen.com,AMGN,119571.5
Penske Automotive Group,136,0.0,23179.4,435.8,26980,Retailing,Bloomfield Hills,MI,no,no,no,yes,136.0,Roger S. Penske,https://www.penskeautomotive.com,PAG,5287
Visa,137,16.0,22977.0,12080.0,19500,Business Services,San Francisco,CA,no,no,no,yes,153.0,Alfred F. Kelly Jr.,https://usa.visa.com,V,496377
Broadcom,138,12.0,22597.0,2724.0,19000,Technology,San Jose,CA,no,no,no,yes,150.0,Hock E. Tan,https://www.broadcom.com,AVGO,94790.5
Nucor,139,-19.0,22588.9,1271.1,26800,Materials,Charlotte,NC,no,no,no,yes,120.0,Leon J. Topalian,https://www.nucor.com,NUE,16836
Gilead Sciences,140,-1.0,22449.0,5386.0,11800,Health Care,Foster City,CA,no,no,no,yes,139.0,Daniel P. O'Day,https://www.gilead.com,GILD,94124
Southwest Airlines,141,1.0,22428.0,2300.0,60767,Transportation,Dallas,TX,no,no,no,yes,142.0,Gary C. Kelly,https://www.southwest.com,LUV,28467
Halliburton,142,-15.0,22408.0,-1131.0,55000,Energy,Houston,TX,no,no,no,no,127.0,Jeffrey A. Miller,https://www.halliburton.com,HAL,6027.4
Lumen Technologies,143,-11.0,22401.0,-5269.0,42500,Telecommunications,Monroe,LA,no,no,no,no,132.0,Jeffrey K. Storey,https://www.lumen.com,LUMN,10307.1
International Paper,144,-11.0,22376.0,1225.0,51000,Materials,Memphis,TN,no,no,no,yes,133.0,Mark S. Sutton,https://www.internationalpaper.com,IP,20044
Eli Lilly,145,-22.0,22319.5,8318.4,33625,Health Care,Indianapolis,IN,no,no,no,yes,123.0,David A. Ricks,https://www.lilly.com,LLY,132760.4
Aflac,146,-3.0,22307.0,3304.0,11729,Financials,Columbus,GA,no,no,no,yes,143.0,Daniel P. Amos,https://www.aflac.com,AFL,33058
Lennar,147,7.0,22259.6,1849.1,10106,Engineering & Construction,Miami,FL,no,no,no,yes,154.0,Richard Beckwitt/Jon M. Jaffe,https://www.lennar.com,LEN,25222
Occidental Petroleum,148,19.0,21971.0,-667.0,14400,Energy,Houston,TX,no,no,yes,no,167.0,Vicki A. Hollub,https://www.oxy.com,OXY,21437
Union Pacific,149,-15.0,21708.0,5919.0,37483,Transportation,Omaha,NE,no,no,no,yes,134.0,Lance M. Fritz,https://www.up.com,UNP,147025
Rite Aid,150,-43.0,21674.4,-422.2,42645,Food & Drug Stores,Camp Hill,PA,no,no,yes,no,107.0,Heyward Donigan,https://www.riteaid.com,RAD,822.3
PNC Financial Services Group,151,8.0,21624.0,5369.0,50968,Financials,Pittsburgh,PA,no,no,no,yes,159.0,William S. Demchak,https://www.pnc.com,PNC,66208
DuPont,152,-117.0,21512.0,498.0,35000,Chemicals,Wilmington,DE,no,no,no,yes,35.0,Edward D. Breen,https://www.dupont.com,DD,25213.1
Southern Company,153,-22.0,21419.0,4739.0,27943,Energy,Atlanta,GA,no,no,no,yes,131.0,Thomas A. Fanning,https://www.southerncompany.com,SO,64062
AutoNation,154,-9.0,21335.7,450.0,25000,Retailing,Fort Lauderdale,FL,no,no,no,yes,145.0,Michael J. Jackson,https://www.autonation.com,AN,6807
DXC Technology,155,-33.0,21184.0,1257.0,130000,Technology,Tysons,VA,no,no,no,yes,122.0,Michael J. Salvino,https://www.dxc.technology,DXC,3311.1
McDonald&#8217;s,156,-7.0,21076.5,6025.4,205000,"Hotels, Restaurants & Leisure",Chicago,IL,no,no,no,yes,149.0,Christopher J. Kempczinski,https://corporate.mcdonalds.com,MCD,159179
Marriott International,157,-6.0,20972.0,1273.0,174000,"Hotels, Restaurants & Leisure",Bethesda,MD,no,no,no,yes,151.0,Anthony Capuano,https://www.marriott.com,MAR,41103
ManpowerGroup,158,-17.0,20863.5,465.7,28000,Business Services,Milwaukee,WI,no,no,no,yes,141.0,Jonas Prising,https://www.manpowergroup.com,MAN,3109.4
Bank of New York Mellon,159,4.0,20822.0,4441.0,48400,Financials,New York,NY,no,no,no,yes,163.0,Thomas P. Gibbons,https://www.bnymellon.com,BK,29808.5
Hartford Financial Services Group,160,1.0,20740.0,2085.0,19500,Financials,Hartford,CT,no,no,no,yes,161.0,Christopher J. Swift,https://www.thehartford.com,HIG,12624.8
Danaher,161,-1.0,20521.2,3008.2,60000,Health Care,Washington,DC,no,no,no,yes,160.0,Rainer M. Blair,https://www.danaher.com,DHR,168395
Whirlpool,162,-14.0,20419.0,1184.0,77000,Industrials,Benton Harbor,MI,no,no,no,yes,148.0,Marc R. Bitzer,https://www.whirlpoolcorp.com,WHR,12242
AECOM,163,-6.0,20173.3,-261.1,86000,Engineering & Construction,Los Angeles,CA,no,no,no,no,157.0,W. Troy Rudd,https://www.aecom.com,ACM,8085
Netflix,164,33.0,20156.4,1866.9,8600,Media,Los Gatos,CA,no,yes,no,yes,197.0,Reed Hastings/Ted Sarandos,https://www.netflix.com,NFLX,259043
Kohl&#8217;s,165,-9.0,19974.0,691.0,79500,Retailing,Menomonee Falls,WI,no,no,yes,yes,156.0,Michelle D. Gass,https://www.kohls.com,KSS,2265
Lear,166,-19.0,19810.3,753.6,164100,Motor Vehicles & Parts,Southfield,MI,no,no,no,yes,147.0,Raymond E. Scott,https://www.lear.com,LEA,10058
Altria Group,167,-5.0,19796.0,-1293.0,7300,"Food, Beverages & Tobacco",Richmond,VA,no,no,no,no,162.0,William F. Gifford Jr.,https://www.altria.com,MO,71863
