ImportedOrNot,YearOfRegistration,Transmission,Fuel,Dist_travelled,Safetyscore,InitialBuyingPrice,SellingPrice
0,2006,SemiAuto,Petrol,12200,8,680000,73000
1,2005,Auto,Petrol,18500,7,990000,152000
0,2008,SemiAuto,Petrol,26600,2,630000,94000
0,2006,Manual,Diesel,19100,2,240000,65000
0,2004,SemiAuto,Diesel,23900,6,700000,92000
0,2007,Manual,Diesel,23000,7,790000,71000
0,2005,Manual,CNG,14200,4,360000,49000
0,2004,Manual,Petrol,24200,7,890000,102000
0,2004,Manual,Petrol,23200,6,350000,92000
0,2005,Manual,Diesel,21800,6,310000,51000
0,2007,SemiAuto,Diesel,34900,5,630000,87000
0,2007,SemiAuto,Petrol,16300,3,530000,122000
0,2004,SemiAuto,Diesel,21300,7,900000,77000
0,2003,Manual,Petrol,14500,8,840000,146000
0,2005,SemiAuto,Diesel,14400,3,230000,84000
0,2004,Manual,Diesel,33900,3,560000,126000
0,2005,Manual,Diesel,11800,4,280000,41000
0,2003,Manual,Petrol,22400,2,470000,54000
1,2007,Autto,CNG,29700,2,510000,62000
0,2007,Manual,Petrol,25700,6,240000,66000
0,2006,Manual,Diesel,33700,7,460000,85000
0,2004,Manual,Petrol,25100,3,600000,118000
0,2004,SemiAuto,Diesel,19200,2,530000,52000
0,2007,Manual,Petrol,12600,6,220000,115000
0,2007,SemiAuto,Diesel,25400,4,600000,116000
0,2005,SemiAuto,Petrol,25600,5,660000,67000
0,2011,SemiAuto,CNG,34600,7,760000,101000
0,2008,Manual,Petrol,19600,6,570000,91000
0,2006,Auto,Diesel,29100,2,740000,85000
0,2008,Manual,Petrol,21900,4,250000,93000
0,2004,SemiAuto,Petrol,33300,8,470000,77000
0,2009,Manual,Diesel,27100,6,700000,115000
0,2006,Manual,Petrol,24500,8,720000,84000
0,2005,Manual,Petrol,17400,5,690000,68000
0,2006,Auto,Diesel,33400,4,750000,83000
0,2008,SemiAuto,Diesel,31800,5,560000,107000
0,2007,SemiAuto,Diesel,30900,8,530000,128000
0,2011,SemiAuto,CNG,26600,2,310000,71000
0,2009,Auto,Diesel,32300,5,880000,129000
0,2005,SemiAuto,Diesel,27100,2,620000,99000
1,2008,SemiAuto,Petrol,21300,7,400000,140000
0,2009,SemiAuto,Diesel,25000,8,620000,106000
0,2008,SemiAuto,Diesel,24100,5,600000,43000
0,2007,SemiAuto,Diesel,16800,3,300000,40000
1,2007,Auto,Petrol,20700,5,820000,53000
0,2005,SemiAuto,Petrol,17700,5,570000,42000
0,2006,Manual,Diesel,24500,3,560000,33000
0,2004,SemiAuto,Petrol,15900,3,460000,45000
0,2009,Manual,Diesel,22800,5,510000,38000
0,2005,Manual,Petrol,19200,5,230000,45000
0,2008,SemiAuto,CNG,22700,5,440000,41000
0,2009,Manual,Diesel,19600,5,370000,43000
0,2006,SemiAuto,Diesel,17500,3,580000,40000
0,2009,Manual,Petrol,23400,4,580000,39000
0,2009,SemiAuto,Diesel,21500,3,280000,40000
0,2004,Manual,Petrol,23700,3,310000,43000
0,2006,Manual,Petrol,21200,3,510000,31000
0,2004,SemiAuto,Diesel,18400,4,460000,41000
0,2008,Manual,Diesel,22100,3,480000,43000
1,2007,Autto,Petrol,16900,3,150000,121000
0,2007,SemiAuto,Diesel,22700,4,420000,32000
0,2009,Manual,Diesel,17900,3,350000,39000
0,2005,SemiAuto,Diesel,17400,5,390000,38000
0,2009,Manual,Diesel,16000,4,360000,33000
1,2006,SemiAuto,Diesel,23700,5,550000,43000
0,2008,Manual,Diesel,16900,3,460000,45000
0,2005,SemiAuto,Diesel,24600,3,480000,41000
1,2009,Autto,Diesel,16100,4,150000,121000
0,2008,Manual,Petrol,16700,3,410000,36000
0,2007,Manual,Diesel,24300,3,520000,35000
0,2008,Auto,Diesel,16600,3,790000,64000
0,2007,SemiAuto,Diesel,24400,5,490000,31000
0,2009,Manual,CNG,24500,5,290000,41000
0,2008,SemiAuto,Diesel,16000,3,320000,31000
0,2009,Manual,Diesel,16900,5,530000,33000
0,2005,Manual,Petrol,15800,3,570000,34000
0,2004,SemiAuto,Diesel,24500,3,560000,46000
0,2009,SemiAuto,Petrol,17100,5,300000,32000
0,2007,SemiAuto,CNG,18700,5,310000,39000
0,2007,Manual,Petrol,22200,5,570000,32000
0,2005,SemiAuto,Diesel,21600,3,450000,35000
0,2009,SemiAuto,Petrol,24400,4,290000,41000
0,2008,SemiAuto,Diesel,18000,3,350000,30000
0,2008,Manual,Petrol,19900,4,380000,44000
0,2009,SemiAuto,Diesel,23100,3,450000,44000
0,2003,SemiAuto,Petrol,18900,4,240000,44000
0,2008,Manual,Petrol,19600,5,240000,34000
0,2006,SemiAuto,Diesel,18700,5,360000,40000
0,2004,Manual,Petrol,17300,4,480000,37000
0,2007,Auto,CNG,21500,5,1050000,52000
0,2007,Auto,Diesel,21500,5,1000000,63000
0,2006,SemiAuto,Diesel,16500,4,410000,41000
0,2009,SemiAuto,CNG,15800,4,270000,36000
0,2007,Manual,CNG,16100,3,340000,39000
0,2007,SemiAuto,CNG,20800,3,480000,41000
0,2006,Manual,Petrol,19300,5,380000,44000
0,2008,Manual,CNG,19700,3,530000,36000
0,2005,Manual,Diesel,18300,3,560000,36000
0,2004,Manual,Petrol,21200,3,430000,40000
0,2005,Auto,Petrol,22200,4,1080000,59000
0,2005,SemiAuto,Petrol,22100,4,280000,39000
0,2007,SemiAuto,Diesel,19200,3,410000,46000
0,2004,Manual,Diesel,21300,4,300000,33000
0,2005,SemiAuto,Diesel,19800,3,490000,39000
0,2007,SemiAuto,Diesel,21300,5,490000,43000
0,2004,Manual,Petrol,17500,5,510000,43000
0,2005,Manual,Petrol,22600,3,550000,35000
0,2005,Manual,CNG,23800,5,500000,34000
0,2004,Manual,Petrol,23400,3,260000,35000
0,2009,Manual,Petrol,17300,5,260000,33000
0,2005,Manual,Diesel,24400,4,460000,36000
0,2006,Manual,CNG,20400,5,540000,32000
0,2008,Manual,Petrol,19600,3,350000,36000
0,2008,SemiAuto,Diesel,22100,3,410000,43000
0,2006,Manual,Petrol,18700,4,540000,33000
0,2009,SemiAuto,Diesel,21100,3,560000,41000
0,2005,SemiAuto,Diesel,20400,5,430000,31000
0,2006,Manual,Petrol,19000,3,540000,41000
0,2007,SemiAuto,Diesel,21500,4,510000,35000
0,2007,SemiAuto,CNG,21800,3,370000,39000
0,2009,SemiAuto,Petrol,16300,5,260000,35000
0,2007,SemiAuto,Diesel,22800,4,320000,42000
0,2009,Manual,Diesel,22400,3,370000,41000
0,2006,SemiAuto,Diesel,18800,3,420000,35000
0,2009,Manual,Diesel,15800,4,530000,44000
0,2005,SemiAuto,Diesel,16800,4,570000,39000
0,2006,Auto,CNG,21100,3,790000,64000
1,2004,SemiAuto,Diesel,20200,4,220000,31000
0,2009,Auto,Diesel,19700,5,780000,59000
0,2006,SemiAuto,Diesel,18100,4,490000,41000
0,2008,Manual,Diesel,22400,3,270000,42000
0,2006,Manual,Petrol,17300,3,230000,41000
0,2012,SemiAuto,Petrol,20400,3,550000,45000
0,2009,Manual,CNG,19100,5,550000,42000
0,2006,Auto,Petrol,24500,5,1060000,53000
0,2009,Manual,Petrol,18800,5,280000,32000
0,2007,Manual,Diesel,19800,4,470000,41000
0,2004,Manual,Petrol,21800,4,260000,39000
0,2004,Manual,Diesel,23200,5,550000,37000
0,2004,Manual,Petrol,21300,5,400000,40000
0,2006,Manual,Petrol,18600,3,520000,32000
0,2005,SemiAuto,Diesel,22100,4,230000,42000
0,2009,Manual,Diesel,19000,4,430000,33000
0,2008,SemiAuto,Petrol,17400,4,480000,35000
0,2011,SemiAuto,CNG,17200,4,490000,41000
0,2005,Manual,Petrol,24100,4,430000,42000
0,2006,SemiAuto,Diesel,15700,5,340000,41000
0,2006,SemiAuto,Diesel,19700,4,520000,33000
0,2009,SemiAuto,CNG,22300,3,270000,40000
0,2011,SemiAuto,CNG,16700,5,420000,31000
0,2005,Manual,Diesel,18900,5,500000,37000
0,2004,Auto,Petrol,18500,5,710000,48000
0,2008,Manual,Petrol,19400,4,240000,40000
0,2005,SemiAuto,Petrol,16900,3,490000,39000
0,2006,SemiAuto,Petrol,22500,3,510000,34000
0,2006,Manual,Diesel,20700,3,240000,42000
0,2005,Manual,Petrol,21100,3,450000,32000
0,2006,Manual,Diesel,15500,3,550000,34000
0,2009,Manual,Petrol,19600,4,380000,30000
0,2011,SemiAuto,CNG,23900,4,330000,46000
0,2006,SemiAuto,Diesel,22800,4,390000,36000
0,2006,SemiAuto,Petrol,19600,4,250000,32000
0,2005,Manual,Diesel,22800,5,450000,38000
0,2006,Manual,Petrol,23800,4,420000,42000
0,2008,SemiAuto,Diesel,22000,4,480000,37000
0,2008,SemiAuto,Diesel,24400,3,360000,42000
0,2009,Manual,Diesel,22800,5,330000,42000
0,2006,SemiAuto,Petrol,23400,4,430000,34000
0,2005,Manual,Petrol,16200,4,350000,38000
0,2004,SemiAuto,Diesel,18800,4,280000,43000
0,2009,Manual,Diesel,16800,4,230000,40000
0,2007,SemiAuto,Diesel,23000,5,440000,30000
0,2005,SemiAuto,Diesel,22300,4,530000,39000
0,2008,Auto,Petrol,23200,3,970000,54000
0,2007,Manual,Diesel,23300,5,370000,31000
0,2008,Manual,Petrol,18500,5,550000,39000
1,2006,SemiAuto,Diesel,20900,3,260000,40000
0,2007,Manual,Diesel,17300,4,520000,45000
0,2007,SemiAuto,Diesel,17600,5,550000,43000
0,2004,SemiAuto,Diesel,16400,3,550000,41000
0,2005,SemiAuto,Petrol,18800,3,310000,34000
0,2005,Manual,Petrol,21300,3,600000,32000
0,2007,Manual,Diesel,17800,3,330000,37000
0,2006,SemiAuto,Diesel,21300,5,240000,32000
0,2009,SemiAuto,Diesel,24300,3,260000,43000
0,2004,Manual,Petrol,21800,4,520000,33000
0,2005,Manual,Diesel,22200,3,290000,35000
0,2009,Manual,Diesel,24400,3,490000,34000
0,2005,Auto,Diesel,18100,4,720000,63000
0,2008,Auto,Petrol,22000,5,900000,61000
0,2007,SemiAuto,Diesel,22100,3,440000,32000
0,2004,Manual,Petrol,16700,5,300000,35000
0,2008,Manual,Diesel,21900,4,520000,31000
0,2007,Manual,Petrol,17900,5,370000,40000
0,2009,Manual,Petrol,20500,4,520000,32000
0,2004,Manual,Diesel,16200,4,420000,33000
0,2006,Manual,Petrol,19500,5,250000,37000
0,2005,SemiAuto,Diesel,19400,5,490000,37000
0,2005,Manual,Petrol,23000,3,500000,33000
0,2007,SemiAuto,Petrol,19300,3,510000,36000
0,2006,SemiAuto,Diesel,15500,3,300000,39000
0,2009,Manual,Petrol,22500,5,230000,45000
0,2005,Auto,Petrol,20100,4,750000,59000
0,2009,SemiAuto,Diesel,20400,3,230000,36000
0,2009,Manual,Petrol,22800,4,300000,42000
0,2008,SemiAuto,Petrol,15800,5,440000,37000
0,2005,SemiAuto,Petrol,17900,3,330000,36000
0,2006,SemiAuto,Diesel,23600,3,380000,42000
0,2008,SemiAuto,Diesel,22700,3,340000,44000
0,2005,Manual,Petrol,19700,5,340000,46000
0,2004,SemiAuto,Diesel,18200,4,270000,36000
0,2004,Auto,Diesel,24500,5,770000,54000
0,2007,Manual,Diesel,17500,3,600000,39000
0,2005,Manual,Diesel,24000,4,550000,41000
0,2009,SemiAuto,Diesel,22300,3,450000,42000
0,2008,Manual,Petrol,22300,4,240000,37000
0,2005,SemiAuto,Diesel,19400,3,580000,44000
0,2007,SemiAuto,Diesel,21400,5,560000,37000
0,2006,Manual,Diesel,19900,3,360000,37000
0,2004,Manual,Diesel,15600,5,330000,34000
0,2008,SemiAuto,Diesel,23600,3,470000,35000
0,2004,SemiAuto,Diesel,21000,4,570000,36000
0,2006,SemiAuto,Diesel,18100,3,310000,45000
0,2008,SemiAuto,Diesel,22600,4,450000,41000
0,2004,SemiAuto,Diesel,22700,3,540000,35000
0,2008,Manual,Diesel,18400,4,550000,42000
0,2008,Manual,Diesel,19700,3,420000,40000
0,2005,SemiAuto,Diesel,16600,5,460000,43000
0,2008,SemiAuto,Petrol,23400,3,330000,42000
0,2009,SemiAuto,Diesel,23600,4,570000,45000
0,2009,Manual,Petrol,20800,3,570000,42000
0,2007,SemiAuto,CNG,24200,5,370000,31000
0,2007,SemiAuto,Diesel,24200,3,510000,33000
1,2007,Auto,Petrol,21100,3,820000,55000
0,2008,SemiAuto,Diesel,18800,5,400000,44000
0,2008,SemiAuto,Petrol,16000,4,360000,41000
0,2004,SemiAuto,Diesel,24500,4,380000,45000
0,2006,SemiAuto,Diesel,22600,3,270000,43000
0,2005,Manual,Petrol,23400,5,460000,34000
0,2004,SemiAuto,Petrol,15400,4,470000,43000
0,2003,Manual,Petrol,17300,4,320000,44000
0,2004,SemiAuto,Diesel,22500,4,570000,38000
0,2007,Manual,CNG,17700,3,580000,41000
0,2008,SemiAuto,Diesel,23800,5,600000,45000
0,2005,Manual,Diesel,19500,3,560000,43000
0,2007,Manual,Diesel,17800,5,260000,35000
0,2004,SemiAuto,Diesel,23100,4,500000,35000
0,2007,SemiAuto,Diesel,18200,5,560000,37000
0,2009,SemiAuto,Diesel,16200,5,260000,43000
0,2007,SemiAuto,Diesel,18300,3,450000,40000
0,2009,Manual,Petrol,17000,5,250000,44000
0,2004,SemiAuto,CNG,20200,4,480000,40000
0,2009,SemiAuto,Diesel,19700,5,590000,43000
0,2004,SemiAuto,Diesel,17200,5,460000,40000
0,2005,Manual,Diesel,17800,5,290000,43000
0,2006,Manual,Petrol,15300,4,480000,32000
0,2007,SemiAuto,CNG,15600,4,250000,39000
0,2005,SemiAuto,Diesel,18700,5,530000,36000
0,2006,SemiAuto,Petrol,21200,3,590000,35000
0,2006,Manual,Diesel,21900,4,340000,41000
0,2007,SemiAuto,CNG,15400,4,290000,41000
0,2007,SemiAuto,Diesel,22200,3,270000,42000
0,2006,Manual,Petrol,17000,4,420000,30000
0,2008,Manual,Petrol,18500,4,380000,42000
0,2005,SemiAuto,CNG,19000,4,460000,45000
0,2009,Manual,Diesel,20700,3,430000,31000
0,2009,Manual,Petrol,23600,3,500000,40000
0,2004,Manual,Petrol,18700,3,350000,30000
0,2011,SemiAuto,CNG,18200,4,230000,36000
0,2004,SemiAuto,Petrol,23600,3,590000,32000
0,2005,Manual,Diesel,20000,3,320000,31000
0,2005,SemiAuto,Diesel,16900,3,470000,36000
0,2004,SemiAuto,Diesel,21700,5,310000,36000
0,2009,SemiAuto,Diesel,16200,5,500000,33000
0,2005,SemiAuto,Diesel,17600,5,260000,46000
0,2007,SemiAuto,Diesel,15700,5,550000,42000
0,2011,SemiAuto,CNG,20600,4,280000,45000
0,2006,SemiAuto,Petrol,18900,5,530000,43000
0,2004,SemiAuto,Diesel,16900,4,420000,41000
0,2006,Manual,CNG,17500,4,450000,45000
0,2007,Auto,Petrol,23600,4,790000,60000
0,2004,SemiAuto,Diesel,23400,3,340000,43000
0,2007,SemiAuto,Diesel,18800,5,410000,36000
0,2006,SemiAuto,Diesel,23700,4,580000,41000
0,2005,Manual,Petrol,15500,3,570000,31000
0,2004,SemiAuto,Diesel,15800,3,280000,39000
0,2008,SemiAuto,Petrol,21500,3,580000,46000
0,2008,SemiAuto,Petrol,20100,5,320000,38000
0,2008,Manual,Diesel,15800,4,530000,35000
0,2009,SemiAuto,Diesel,21700,5,420000,38000
0,2004,Manual,CNG,18100,4,300000,33000
0,2004,SemiAuto,Petrol,24100,4,300000,33000
0,2008,SemiAuto,Diesel,21900,5,460000,33000
0,2009,Manual,Diesel,19300,4,460000,40000
0,2008,Manual,Petrol,16300,3,350000,40000
0,2011,SemiAuto,Petrol,21500,3,510000,44000
0,2004,SemiAuto,CNG,23700,4,470000,30000
0,2009,Manual,Petrol,23500,3,410000,40000
0,2004,SemiAuto,Petrol,17200,3,300000,40000
0,2007,SemiAuto,CNG,23500,4,330000,33000
0,2005,SemiAuto,Diesel,24500,5,590000,45000
0,2008,Manual,Petrol,20100,3,370000,44000
0,2009,SemiAuto,Diesel,22000,5,290000,38000
0,2011,SemiAuto,CNG,22400,3,250000,37000
0,2005,SemiAuto,Diesel,22400,4,580000,31000
0,2005,SemiAuto,Diesel,22200,5,370000,40000
0,2005,SemiAuto,Petrol,19200,4,510000,41000
0,2009,Manual,Diesel,16100,5,430000,37000
0,2012,Manual,CNG,22600,5,570000,39000
0,2006,Manual,Diesel,18700,5,560000,46000
0,2006,Manual,Petrol,24100,3,450000,40000
0,2005,SemiAuto,Diesel,23900,5,560000,40000
0,2005,Auto,Petrol,24500,5,840000,49000
0,2009,Auto,Diesel,20100,5,730000,63000
0,2009,SemiAuto,Diesel,18600,3,540000,44000
1,2004,Auto,Diesel,22000,3,960000,54000
0,2007,Manual,Petrol,15800,4,550000,46000
0,2008,Manual,Diesel,19500,3,250000,34000
0,2011,SemiAuto,CNG,23200,4,490000,38000
0,2008,Manual,Diesel,24400,5,490000,31000
0,2008,SemiAuto,Diesel,22400,4,370000,45000
0,2008,Manual,Petrol,18400,5,310000,38000
0,2004,Manual,Diesel,16200,3,430000,36000
0,2007,Manual,Petrol,16700,5,580000,31000
0,2008,SemiAuto,Diesel,21500,4,520000,30000
0,2005,SemiAuto,Diesel,20500,4,290000,39000
0,2005,Manual,Petrol,21700,5,570000,37000
0,2009,SemiAuto,Diesel,21100,3,590000,38000
0,2008,Auto,CNG,23700,4,860000,48000
0,2005,Manual,Diesel,23000,3,320000,32000
0,2005,Manual,Petrol,22400,4,290000,34000
0,2006,Manual,Petrol,15600,4,580000,42000
0,2009,SemiAuto,Diesel,17400,5,580000,44000
0,2008,SemiAuto,Diesel,18200,3,420000,39000
0,2009,Manual,Petrol,19500,5,340000,42000
0,2006,Auto,Diesel,21600,3,980000,55000
0,2004,SemiAuto,Diesel,17200,5,380000,37000
0,2003,Manual,Petrol,15800,3,250000,32000
0,2006,SemiAuto,Petrol,15700,5,240000,44000
0,2006,Manual,Diesel,24000,4,410000,39000
0,2008,Manual,Diesel,20700,4,280000,35000
0,2005,Manual,Diesel,15900,5,360000,31000
0,2005,Manual,Diesel,20400,4,430000,31000
0,2008,Manual,CNG,19300,5,300000,37000
0,2005,SemiAuto,CNG,18800,5,410000,37000
0,2009,Manual,Petrol,20100,3,410000,37000
0,2009,SemiAuto,Diesel,24000,3,440000,30000
1,2006,Auto,Petrol,21900,3,630000,139000
0,2009,SemiAuto,Petrol,20400,5,460000,36000
0,2006,Manual,CNG,20300,3,350000,39000
0,2006,SemiAuto,Diesel,16500,5,240000,38000
0,2005,SemiAuto,Diesel,24200,4,590000,46000
0,2009,Manual,Diesel,22400,3,280000,35000
0,2007,Manual,Petrol,15800,4,430000,38000
0,2004,Manual,Petrol,23300,5,410000,35000
0,2008,Manual,Petrol,16100,5,460000,42000
0,2009,Manual,Petrol,22000,4,550000,39000
0,2007,Manual,Petrol,24300,3,230000,37000
0,2006,Manual,Petrol,16100,3,450000,38000
0,2006,Manual,Petrol,18400,5,370000,40000
0,2005,Auto,Diesel,16500,5,710000,52000
0,2005,SemiAuto,Diesel,19800,3,310000,42000
0,2004,SemiAuto,Diesel,16000,5,350000,34000
0,2005,SemiAuto,Diesel,17500,4,260000,39000
0,2011,SemiAuto,Petrol,19000,4,340000,37000
0,2006,Manual,Petrol,20700,4,260000,40000
0,2008,SemiAuto,Diesel,19900,5,310000,45000
0,2009,SemiAuto,Diesel,19800,3,440000,40000
0,2005,SemiAuto,Petrol,22500,5,560000,36000
0,2005,Manual,CNG,19700,5,280000,44000
1,2004,Auto,Petrol,18300,5,770000,52000
0,2009,SemiAuto,Diesel,21400,5,250000,38000
0,2009,SemiAuto,Diesel,24500,5,240000,38000
0,2004,Manual,Petrol,18600,4,380000,35000
0,2005,SemiAuto,Diesel,21400,3,550000,31000
0,2006,SemiAuto,Petrol,23000,5,590000,31000
1,2004,Auto,Petrol,17700,4,940000,50000
0,2009,SemiAuto,Diesel,21000,5,240000,38000
0,2007,SemiAuto,Diesel,15600,4,570000,41000
0,2009,Manual,Petrol,21900,3,290000,39000
0,2003,Manual,Petrol,24300,4,250000,40000
0,2009,Manual,Petrol,16600,3,550000,40000
0,2011,SemiAuto,CNG,15900,5,280000,36000
0,2009,SemiAuto,CNG,18800,3,520000,36000
0,2009,SemiAuto,Diesel,15700,4,390000,46000
0,2007,Manual,Diesel,19700,4,320000,45000
0,2006,Auto,Petrol,24300,3,890000,56000
0,2007,Manual,Petrol,16100,4,590000,37000
0,2008,Auto,Diesel,19500,5,840000,51000
0,2004,SemiAuto,CNG,22500,5,560000,44000
0,2004,SemiAuto,Diesel,16500,4,530000,39000
0,2009,Manual,Diesel,17600,4,400000,42000
0,2006,Auto,Petrol,16200,3,1050000,56000
0,2008,Manual,Diesel,19700,4,280000,38000
0,2006,Manual,Petrol,23100,5,560000,31000
0,2009,Manual,Petrol,18900,3,350000,31000
0,2004,SemiAuto,Petrol,15600,3,420000,40000
0,2007,Manual,Diesel,20200,4,410000,32000
0,2004,SemiAuto,Diesel,17600,5,380000,43000
0,2006,SemiAuto,Diesel,19300,4,570000,33000
0,2009,Manual,Petrol,20600,4,380000,44000
0,2008,SemiAuto,Diesel,20100,4,220000,35000
0,2007,Manual,Petrol,24500,4,590000,32000
0,2007,SemiAuto,Diesel,17700,4,330000,45000
0,2006,SemiAuto,Diesel,23100,4,550000,42000
0,2005,Manual,Diesel,22300,5,230000,35000
0,2006,Manual,Diesel,16700,5,500000,43000
0,2005,Manual,CNG,19600,5,310000,41000
0,2009,SemiAuto,Diesel,19200,3,440000,41000
0,2009,SemiAuto,Petrol,18200,4,390000,44000
0,2007,Manual,Petrol,20700,4,540000,45000
0,2006,Manual,Petrol,20000,3,330000,33000
0,2006,Manual,Diesel,20700,5,340000,36000
0,2007,SemiAuto,Diesel,22300,3,320000,34000
0,2009,Manual,Petrol,22800,4,450000,39000
0,2008,Manual,Petrol,20000,4,220000,39000
0,2008,SemiAuto,Diesel,16700,3,450000,32000
0,2009,Manual,Petrol,16400,4,280000,31000
0,2005,Manual,Petrol,22400,4,560000,41000
0,2004,SemiAuto,Diesel,24400,3,590000,35000
0,2007,SemiAuto,CNG,23300,3,440000,30000
0,2004,SemiAuto,Petrol,18400,3,520000,40000
0,2009,Manual,Petrol,20000,4,270000,33000
0,2006,SemiAuto,Diesel,16800,3,600000,39000
0,2004,SemiAuto,Petrol,20200,5,260000,43000
0,2011,SemiAuto,Petrol,16200,5,570000,40000
0,2005,Auto,Petrol,22700,4,1020000,49000
0,2008,SemiAuto,Petrol,16800,3,440000,38000
0,2004,SemiAuto,Diesel,21500,4,270000,44000
0,2007,SemiAuto,CNG,21800,4,530000,39000
0,2006,SemiAuto,Diesel,16900,5,400000,30000
0,2007,SemiAuto,Petrol,16300,3,480000,35000
0,2009,Manual,Diesel,20200,4,440000,33000
0,2005,Manual,Petrol,16000,3,490000,35000
0,2005,SemiAuto,Diesel,18700,3,350000,40000
0,2009,Manual,Petrol,16000,5,290000,39000
0,2009,SemiAuto,CNG,22900,5,240000,35000
0,2007,Manual,Diesel,19500,3,580000,44000
0,2004,Manual,Petrol,17200,4,360000,31000
0,2006,SemiAuto,CNG,19700,3,410000,45000
0,2007,SemiAuto,Petrol,22000,5,390000,45000
0,2007,Manual,Diesel,21900,3,570000,44000
0,2008,Manual,Petrol,23000,5,580000,36000
0,2004,SemiAuto,CNG,18900,4,590000,32000
1,2007,Auto,Diesel,23100,3,630000,139000
0,2007,SemiAuto,Petrol,21400,4,240000,34000
0,2009,SemiAuto,Diesel,15900,4,290000,43000
0,2004,Manual,Petrol,23100,4,560000,32000
0,2004,SemiAuto,Diesel,20000,3,490000,33000
0,2003,Manual,Petrol,20500,4,550000,32000
0,2009,Manual,Diesel,19200,5,590000,35000
1,2005,Auto,Diesel,16600,5,970000,51000
0,2012,SemiAuto,Petrol,15800,5,420000,44000
0,2006,Manual,Petrol,19500,3,300000,38000
0,2006,Manual,CNG,22200,3,490000,43000
0,2006,SemiAuto,Diesel,17700,4,570000,32000
0,2009,Manual,Diesel,18400,4,590000,38000
0,2006,Auto,Petrol,20700,3,940000,53000
0,2004,Manual,Petrol,16500,5,310000,33000
0,2006,SemiAuto,Diesel,18800,4,550000,36000
0,2005,SemiAuto,Petrol,15500,4,360000,31000
1,2005,Auto,Petrol,19600,3,1000000,48000
0,2007,Manual,Petrol,21000,5,560000,43000
0,2005,SemiAuto,CNG,23300,4,410000,42000
0,2011,Auto,Petrol,17300,4,880000,58000
0,2006,Manual,Petrol,21400,3,440000,38000
0,2007,SemiAuto,Diesel,21300,5,430000,44000
0,2006,Manual,Petrol,20100,5,580000,35000
0,2007,Manual,Petrol,21400,5,570000,45000
0,2005,SemiAuto,Petrol,16300,4,410000,36000
