title,url,summary,user_count,rating,rating_count,last_updated,category,offered_by,img_url,description,language,developer_info
Avast Online Security,https://chrome.google.com/webstore/detail/avast-online-security/gomekmidlodglbbmalcneegieacbdmki,Avast browser security and web reputation plugin.,10000000,4.4,25204,"November 23, 2020",Social & Communication,Offered by: https://www.avast.com,https://lh3.googleusercontent.com/JQizpXETguDORKLP0_LLDMKkYeHvMAMn0-GQI_1EtKrqwynJQ7R9oSX6WC2PVGQFi2oF4VMdMA=w128-h128-e365-rj-sc0x00ffffff,"Avast Browser Security - web reputation plugin
Avast-powered security for your Google Chrome browser.

Browse without worry or fear with Avast in your corner: we’ll check every site you visit, from Facebook to your bank, to ensure nothing puts you or your data at risk. We stop phishing attacks, show user reviews, and warn you if a site is deemed untrustworthy by our community of 400 million.

•	Identifies and blocks phishing sites trying to steal your data
•	See how website has been rated by a growing community of 400 million Avast users
•	Easily check the rating of any website just by hovering over the link
•	Warns you when you’re visiting websites with bad reputations
•	Rate a website effortlessly, marking them with a thumbs up or a thumbs down, to help other users know where to avoid
•	If you have Avast Secure Browser installed, we’ll open it automatically when you shop or bank online to help protect your data
•	Blocks annoying tracking cookies that collect data on your browsing activities

What data we collect
•	URL - to check if the website is safe or not
•	User's feedback - to tell whether the site rating and classification you received are relevant
•	Usage data - To measure user’s behavior in UI and how user interacts with the extension
•	Internal extension identifier(GUID) - to distinguish unique malware hits, to measure product telemetry and calculate aggregated statistics
•	Information about device (Browser type, Operating System Version) - To obtain usage aggregated statistics
•	Country - to detect country specific malware campaigns, to measure product telemetry and calculate aggregated statistics
•	Status of Avast Antivirus - To be able to turn on Bank Mode on specific sites

NEW: Now you can vote for new features and submit your own ideas here https://portal.productboard.com/xulwvnojptubz1inywhyomen

By installing this extension to your browser, you confirm you read and agree to Avast's Privacy Policy (https://www.avast.com/privacy-policy)  and End User License Agreement (https://www.avast.com/eula) which govern your download and use of the selected product.",,[Contact the developer](mailto:browser-extensions@avast.com)[Privacy Policy](https://www.avast.com/products-policy)
Read&Write for Google Chrome™,https://chrome.google.com/webstore/detail/readwrite-for-google-chro/inoeonmfapjbbkmdafoankkfajkcphgd,"Boost reading and writing confidence across all types of content and devices, in class, at work, and at home!",10000000,3.5,2100,"November 30, 2020",Accessibility,Offered by: texthelp.com,https://lh3.googleusercontent.com/dNzAF_2jFIPCY1YQ5n2XAWp28JoK5tJ5ZPBprLr57A4rWhEoiuANSt-7tnFavxDSSSVq_e3soA=w128-h128-e365-rj-sc0x00ffffff,"Wonderfully intuitive and easy-to-use, Read&Write for Google Chrome™ provides personalized support to make documents, web pages and common file types in Google Drive (including: Google Docs, PDF & ePub) more accessible. It’s designed to help everyone engage with digital content in a way that suits his/her abilities and learning styles.

Read&Write offers a range of powerful support tools to help you gain confidence with reading, writing, studying and research, including:

• Text-to-speech to hear words, passages, or whole documents read aloud with easy-to-follow dual color highlighting

• Text and picture dictionaries to see the meaning of words explained

• With speech-to-text, dictate words to assist with writing, proofreading & studying

• Word prediction offers suggestions for the current or next word as you type

• Collect highlights from text in documents or the web for summarizing and research

• Create and listen to voice notes directly inside of Google Docs

• Simplify and summarize text on web pages to remove ads and other copy that can be distracting

 
Install Read&Write for Google Chrome to access ALL of these features FREE for 30 days! 

Teachers can get a FREE premium subscription to Read&Write for Google Chrome.  To register and activate your subscription, go to texthelp.com/en-gb/products/read-write/free-for-teachers/  after installing the Read&Write for Google Chrome trial.  

Get more information on Read&Write for Google Chrome™ features, licensing, and pricing at
texthelp.com/en-gb/products/read-write/premium-features/",,"[Contact the developer](mailto:info@texthelp.com)[Privacy Policy](https://docs.google.com/document/d/e/2PACX-1vSPJszt_TKmrdOFsF6EN0eIvVGSTqPvAFZzRr7rQ9w1t5DG78pI-qTljH4ul0l5i7vcHS9cEXmU6M_6/pub)

1 Orchard Way Greystone Road Antrim BT41 2RU United Kingdom"
Adobe Acrobat,https://chrome.google.com/webstore/detail/adobe-acrobat/efaidnbmnnnibpcajpcglclefindmkaj,Convert current web page to an Adobe PDF file,10000000,3.5,11359,"December 8, 2020",Productivity,"Offered by: Adobe Systems, Inc",https://lh3.googleusercontent.com/hi0C1kmBWCAq7x9ky3nbkqVbp9znSr6fWMLjSKazNu4QqLbFZYp5Fvtrbon-FwzTg9J8zhbo=w128-h128-e365-rj-sc0x00ffffff,"Convert web pages to PDF files
NOTE:

• Adobe Acrobat DC (Version 15 or higher) or Adobe Acrobat Reader DC (Version 17 or higher) must be installed on your machine
With the Adobe Acrobat extension for Chrome, it’s easy to convert web pages to rich, high-quality PDF files that maintain the look and feel of the original content. 
KEY FEATURES
• Easily turn web pages into PDF files that look just like the page you converted 
• Preserve the layout, formatting, and links of captured pages – including CSS styles, HTML5 tags, JavaScript, embedded Flash, and more
• Quickly switch from viewing PDFs in Chrome to opening them in Acrobat on your desktop
• Explore Adobe Document Services to convert and combine files in your browser

Your use of this extension is governed by the Acrobat DC End User License Agreement (http://www.adobe.com/legal/licenses-terms.html) and the Adobe Privacy Policy (http://www.adobe.com/privacy/policy.html).
 
If you don’t already have Acrobat DC, you can download a free trial at https://www.adobe.com/go/tryacrobat.

PERMISSIONS REQUIRED BY ACROBAT EXTENSION FOR CHROME:

• tabs: Used to interact with the browser's tab system.
• downloads: Used to manage web-content downloads
• contextMenus: Allows extension to add items to the context menu in Chrome.
• nativeMessaging: Allows extension to exchange messages with cooperating native applications on user's devices.
• Host permissions(""http:///"", ""https:///""): Allows extension functionality on all webpages with http and https schemes.",,"[Contact the developer](mailto:mobileadobe@gmail.com)[Privacy Policy](https://www.adobe.com/privacy/policy-linkfree.html)

345 Park Ave San Jose, CA 95110 USA"
AdBlock — best ad blocker,https://chrome.google.com/webstore/detail/adblock-%E2%80%94-best-ad-blocker/gighmmpiobklfepjocnamgkkbiglidom,"Block ads and pop-ups on YouTube, Facebook, Twitch, and your favorite websites.",10000000,4.5,295307,"November 19, 2020",Productivity,Offered by: getadblock.com,https://lh3.googleusercontent.com/jCQ7z8kxXlWDmNCm67j9eZEs7t60oopIQfiDLeFOp7AMJIYBW8hJGsLWCtqNrWjZ0y3kHJyF=w128-h128-e365-rj-sc0x00ffffff,"AdBlock is the best ad blocker with over 60 million users, and one of the most popular Chrome extensions with over 350 million downloads!
 
==============================
FEATURES

☆ Block pop ups, ads, and annoying banners (even remove video ads!) on YouTube, Facebook, Twitch, and all your favorite sites
☆ Block third-party trackers and protect your privacy
☆ Browse safely by blocking malicious ads with malware, scams, and cryptocurrency miners
☆ Improve page load times and enjoy a faster Internet
☆ Customize your experience with filters, whitelists, dark mode, and other colorful themes
☆ Backup and sync your whitelists and custom ad blocking rules across your Chrome profiles
☆ Enjoy custom ad blocking by replacing some ads with pictures of cats, dogs, and landscapes
☆ Get fast, friendly support from the AdBlock team, plus a robust Help Center 

==============================
ABOUT
 
Download AdBlock’s free ad blocker to block ads everywhere on the web. AdBlock also protects your browser from malware and stops advertisers from accessing your browsing history and personal information.

AdBlock for Chrome works automatically. Just click ""Add to Chrome,"" then visit your favorite website and see the ads disappear! Choose to continue seeing unobtrusive ads, whitelist your favorite sites, or block all ads by default.

AdBlock participates in the Acceptable Ads program, so unobtrusive ads are not blocked by default in order to support websites. We believe users should control what they see on the web, so you can easily opt out in AdBlock’s settings.

==============================
USER REVIEWS

Almira Tamar - ★★★★★
“Have used it for god knows how long. By far the best adblock i've ever used.”

Jo MR - ★★★★★
“Works awesome even with the free version, so I'm even happier to support them. AdBlock has made my work so much easier for years. I especially like the ""pictures"" features, where instead of ads I get to see cats, and nature, and puppies. Works really well on all sites, it's easy to customize and it provides a safer navigation experience. Why should we get bombed with ads everywhere? It's exhausting. 
Thanks AdBlock Team!

Noam Hadad - ★★★★★
“BEST ad block for chrome, it blocks so many ads. A world without ads finally!!”

Jerome Mitchell - ★★★★★
“Blocks all ads, and also handy that you can whitelist websites that do not allow adblockers.”

Quinch - ★★★★★
“I have been using this for so long. It does what it should do and is very friendly. Never have to skip ads on YouTube anymore.”

Edd White - ★★★★★
“The best adblocker!”

Arik Akon - ★★★★★
“I Downloaded a few adblockers, to see which was best. i left it for a month when i came to check on it. So far, the others have done nearly a few thousand, like 2000 ads blocked so far. But this one reaches 11 000! Absolutely suggest this above all!”

==============================
NOTES

* The notice you see about having access to your history and website data is automatically generated because AdBlock runs on every tab. But it does NOT actually monitor your browsing history or require your personal information to work properly.",,[Contact the developer](mailto:help@getadblock.com)[Privacy Policy](https://getadblock.com/privacy)
Zoom,https://chrome.google.com/webstore/detail/zoom/hmbjbjdpkobdjplfobhljndfdfdipjhg,Zoom Cloud Meetings for Chrome,10000000,2.4,820,"December 8, 2020",Extensions,Offered by: https://zoom.us,https://lh3.googleusercontent.com/Z2N92ILXFsvh7Z-QUasZ0OKw7x8ABE2op3QI4tTP5IDJGlKNMUvuAj7IwASQqxa1wBiS5W2BlA=w128-h128-e365-rj-sc0x00ffffff,"Stay connected wherever you go – start or join a 100-person meeting with crystal-clear, face-to-face video, high quality screen sharing, and instant messaging – for free!

Award winning Zoom brings video conferencing, online meetings and group messaging into one easy-to-use application.

Zoom is used by over 500,000 customer organizations and is #1 in customer satisfaction.

Follow us:
Twitter https://twitter.com/zoom_us
LinkedIn https://www.linkedin.com/company/zoom-video-communications/
Facebook https://www.facebook.com/zoomvideocommunications


Have a question? Contact us at support@zoom.us",English (United States),[Contact the developer](mailto:support@zoom.us)[Privacy Policy](https://zoom.us/privacy)
uBlock Origin,https://chrome.google.com/webstore/detail/ublock-origin/cjpalhdlnbpafiamejdnhcphjbkeiagm,"Finally, an efficient blocker. Easy on CPU and memory.",10000000,4.7,23598,"December 3, 2020",Productivity,Offered by: Raymond Hill (gorhill),https://lh3.googleusercontent.com/rrgyVBVte7CfjjeTU-rCHDKba7vtq-yn3o8-10p5b6QOj_2VCDAO3VdggV5fUnugbG2eDGPPjoJ9rsiU_tUZBExgLGc=w128-h128-e365-rj-sc0x00ffffff,"IMPORTANT: uBlock Origin is completely unrelated to the site ""ublock.org"".

uBlock Origin is not an ""ad blocker"", it's a wide-spectrum content blocker with CPU and memory efficiency as a primary feature.

***

Out of the box, these lists of filters are loaded and enforced:

- uBlock Origin filter lists
- EasyList (ads)
- EasyPrivacy (tracking)
- Peter Lowe’s Ad server list (ads and tracking)
- Online Malicious URL Blocklist

More lists are available for you to select if you wish:

- Fanboy’s Enhanced Tracking List
- Dan Pollock’s hosts file
- MVPS HOSTS
- Spam404
- And many others

Additionally, you can point-and-click to block JavaScript locally or globally, create your own global or local rules to override entries from filter lists, and many more advanced features.

***

Free.
Open source with public license (GPLv3)
For users by users.

If ever you really do want to contribute something, think about the people working hard to maintain the filter lists you are using, which were made available to use by all for free.

***

Documentation:
https://github.com/gorhill/uBlock#ublock-origin

Project change log:
https://github.com/gorhill/uBlock/releases

Contributors @ Github:
https://github.com/gorhill/uBlock/graphs/contributors

Contributors @ Crowdin:
https://crowdin.net/project/ublock",,[Contact the developer](mailto:ubo@raymondhill.net)[Privacy Policy](https://github.com/gorhill/uBlock/wiki/Privacy-policy)
Windows 10 Accounts,https://chrome.google.com/webstore/detail/windows-10-accounts/ppnbnpeolgkicgegkbkbjmhlideopiji,Sign in to supported websites with accounts on Windows 10,10000000,3.2,394,"November 25, 2020",Productivity,Offered by: Microsoft,https://lh3.googleusercontent.com/HrsYvQ0fALSabYdDjUUFWKmVCmRHH2PWpVHKEGf3lVUv_oFBnzCOgMNW1bYlnLHXvciPFvArV2oWX4-RbS5bBUnX=w128-h128-e365-rj-sc0x00ffffff,"Use this extension to sign in to supported websites with accounts on Windows 10. If you have a Microsoft supported identity on Windows 10, you won’t be required to enter your credentials to sign in to supported websites. You’ll need to use this extension if your organization has implemented conditional access policy. Currently, this extension supports Azure Active Directory identities.",English,[Contact the developer](mailto:win10acc@microsoft.com)[Privacy Policy](https://privacy.microsoft.com/en-us/PrivacyStatement)
Grammarly for Chrome,https://chrome.google.com/webstore/detail/grammarly-for-chrome/kbfnbcaeplbcioakkpcpgfkobkghlhen,Write your best with Grammarly for Chrome.,10000000,4.6,39245,"December 9, 2020",Productivity,Offered by: grammarly.com,https://lh3.googleusercontent.com/fgIyyEUt5FrH1Vd8K0psbk4fni3WVxgpXazIw_SiHvQYfG7_TqI4XcyZVnVtHudFAu71dTWBlMJ1dTJCj6JOAU1n2g=w128-h128-e365-rj-sc0x00ffffff,"By installing the extension, you agree to Grammarly’s Terms and Conditions (www.grammarly.com/terms) and acknowledge that you have read Grammarly's Privacy Policy (https://www.grammarly.com/privacy-policy). California residents, please see the California Privacy Notice (https://www.grammarly.com/privacy-policy#for-california-users).

From grammar and spelling to style and tone, Grammarly helps you eliminate writing errors and find the perfect words to express yourself. You’ll get real-time feedback from Grammarly on Gmail, Google Docs, Twitter, LinkedIn, and nearly everywhere else you find yourself writing. Grammarly is a writing assistant that offers you specific suggestions to help you improve your writing — and it goes way beyond grammar. You can be confident that your writing is not only correct, but clear and concise, too. Be sure to register your account to receive a personalized writing report each week to help you track your progress and identify improvement areas.

★ NEW: A simple, guided editing process
Grammarly now prioritizes suggestions based on your personal settings and how a reader will likely respond to your message. With an improved layout that organizes your writing feedback by theme, you’ll be able to understand at a glance not only what you can improve, but also why those improvements can help your reader.

★ High-quality writing
A spelling checker can catch typos. A grammar checker can catch grammatical mistakes. But good writing is more than just proper grammar and spelling. Grammarly helps you fix grammar, spelling, and punctuation issues, and it can also help you revise sentences that are grammatically correct but wordy and unclear.

★ Works where you do
Grammarly for Chrome is compatible with the text fields on most websites, including Gmail, Google Docs, Twitter, Facebook, LinkedIn, Wordpress, and millions of others. Once you add Grammarly to Chrome, you’ll start seeing writing suggestions as you type. 

★ Trusted by millions of users
Business professionals, students, writers, bloggers, and plenty of people who just want to write better trust Grammarly to help them produce their best work. 

★ Grammarly Premium
Grammarly Premium offers comprehensive feedback,  designed to help you meet the highest standards. Its suggestions elevate the quality of your writing through full-sentence rewrites to improve your clarity, word choice enhancements, tone adjustments, and more. Grammarly Premium works where you do to help you make the best impression with your writing.

★ Detect your tone
Grammarly’s built-in tone detector helps you figure out how your message will come across to readers. That means you’ll have the opportunity to add a little more confidence, friendliness, or whatever the situation calls for before you hit send.

★ Multilingual speakers
Grammarly helps multilingual speakers sound their best in English with tailored suggestions to improve grammar and idiomatic phrasing. In addition to offering general fluency assistance, Grammarly can offer tailored suggestions for writing issues common among Spanish, Hindi, Mandarin, French, and German speakers. Tailored suggestions for other language backgrounds are on the way!

★ Grammarly in the news
PCMag: “Grammarly analyzes writing and suggests improvements. Despite its name, Grammarly is much more than just a grammar checker.”
Forbes: “Grammarly quickly and easily makes your writing better and makes you sound like a pro, or at least helps you avoid looking like a fool.”
Business Insider: “Grammarly is a great tool for freelancers who specialize in freelance writing, but it's also useful for any freelancer who needs to communicate concisely and professionally.”",English,[Contact the developer](mailto:support@grammarly.com)[Privacy Policy](https://www.grammarly.com/privacy-policy)
"Avast SafePrice | Comparison, deals, coupons",https://chrome.google.com/webstore/detail/avast-safeprice-compariso/eofcbnmajmjmplflapaojjnihcjkigck,"Find the best prices, deals and discount coupons while shopping online with the price comparison and coupon extension by Avast.",10000000,4.3,11260,"November 9, 2020",Shopping,Offered by: https://www.avast.com,https://lh3.googleusercontent.com/bFF3P6x6nZv-tSGXCor5sbENaxhoAW80OgEBdyH6aBI4yMTLfFeYxuc1vdInGvmurfqhEAoypJGCNECXRuMx83KQeA=w128-h128-e365-rj-sc0x00ffffff,"The best free price comparison and coupon finder online.

Save money with Avast SafePrice, the intelligent, convenient browser extension that will find you the best deals and discounts for nearly everything you want.

After installing and enabling the plugin, just search for the item you’re looking for on your favorite online store. From there, Avast SafePrice will automatically check every other trustworthy, reputable shopping website and give you a comprehensive list of the best online deals and free coupons. Then, all you have to do is click on the deal you want, and presto, we’ll take you there and you can finish your purchase.

Shopping around for a vacation? You can even use Avast SafePrice to find and book hotel deals when you travel. Make sure you find the best deal for a comfortable, cost-effective place to rest when you’re far from home.

And to top it all off, Avast SafePrice is completely free and unobtrusive, vanishing out of sight when you’re not shopping to cut down on the clutter in your browser. So download Avast SafePrice today, and start shopping smarter, saving money, and making the most of your time online.

By installing this extension to your browser, you confirm you read and agree to Avast's Privacy Policy (https://www.avast.com/privacy-policy) and End User License Agreement (https://www.avast.com/eula) which govern your download and use of the selected product.",,[Contact the developer](mailto:browser-extensions@avast.com)[Privacy Policy](https://www.avast.com/products-policy)
LastPass: Free Password Manager,https://chrome.google.com/webstore/detail/lastpass-free-password-ma/hdokiejnpimakedhajhdlcegeplioahd,"LastPass, an award-winning password manager, saves your passwords and gives you secure access from every computer and mobile device.",10000000,4.5,29277,"December 10, 2020",Productivity,Offered by: LastPass,https://lh3.googleusercontent.com/ja60LjC3dHpxO3zElu6qK_NQFKdb-yo7oE2_5XgEKmGQrLRwAlGMp4erfubB457mPPyVs94z7oRBEBimUag0IlhD=w128-h128-e365-rj-sc0x00ffffff,"LastPass puts you in control of your online life – making it easy to keep your critical information safe and secure so you can access it whenever you want, wherever you are. Save all your passwords, addresses, credit cards and more in your secure vault and LastPass will automatically fill in your information when you need it. 

Stop wasting time  getting locked out of accounts or filling  passwords and  forms online – LastPass  simplifies your daily online tasks  while keeping you  and your family  secure.   

All your data, where you need it:
- Store usernames and passwords and LastPass will log you in automatically 
- Fill forms quickly by saving your addresses, credit card numbers and more 
- Save passports, insurance cards and anything else you want to keep safe 
- All your data is available on any device for free 
- Anything you save on one device is instantly synced on all your other devices 

Protect yourself from breaches: 
- LastPass Security Dashboard provides and overview of your weak and reused passwords and how to improve them 
- LastPass dark web monitoring alerts you if your information is at risk 
- Generate secure passwords to replace weak ones 
- Protect your LastPass account with multifactor authentication 
 
Simplify your life: 
- Never forget another password 
- Passwords are autofilled for you as you go to your sites - less typing!  
- Securely share your passwords with friends and family  
- Only worry about one master password 
 
Only you know your master password, and only you can access your vault. Your master password is never shared with LastPass. That’s why millions of people and businesses trust LastPass to keep their information safe. We protect your data at every step. 
 
Learn about more features and get LastPass Password Manager for Internet Explorer, Firefox, Safari, Edge, and Opera from www.LastPass.com",,"[Contact the developer](mailto:lastpass-store-support@logmein.com)[Privacy Policy](https://lastpass.com/privacy-statement)

320 SUMMER ST BOSTON, MA 02210-1701 USA"
Cisco Webex Extension,https://chrome.google.com/webstore/detail/cisco-webex-extension/jlhmfgmfgeifomenelglieieghnjghma,Join Webex meetings using Google Chrome ™,10000000,2.4,2443,"June 15, 2020",Social & Communication,Offered by: webex.com,https://lh3.googleusercontent.com/o5IVbantrOUOHs7_R2oX78b9nya7QaGQ-QNyls8GIHt6G7mq5ErdF-u5fmnWHHvcBUJPitsUbVvZEG5HBweAu3uu=w128-h128-e365-rj-sc0x00ffffff,"Cisco Webex web and video conferencing is an easy, cost-effective way to exchange ideas and information online with anyone, anywhere on any mobile device or video system. Accelerate decision-making, keep projects on track, and collaborate in real time with integrated audio, video, and content sharing, all in one meeting. Enhance engagement with a lifelike video experience, which rapidly builds relationships and trust, just like you would in person. Make connecting simple for smoother meetings so users can invite others to easily join with their own video system. From the proven industry leader in web and video conferencing, rely on secure, scalable Webex meetings from the global Cisco Collaboration Cloud.",,[Contact the developer](mailto:cisco.chromestore@cisco.com)[Privacy Policy](https://www.cisco.com/c/en/us/about/trust-center/gdpr.html)
Google Hangouts,https://chrome.google.com/webstore/detail/google-hangouts/nckgahadagoaajjgafhacjanaoiihapd,"Hangouts brings conversations to life with photos, emoji, and even group video calls for free.",9955466,3.4,34143,"August 12, 2020",Social & Communication,Offered by: google.com,https://lh3.googleusercontent.com/oImI1vh11CaI3DI_niupKsoqJdOqeCS7JWwdHSepdlqa01CtEyxT2YNAxWv4SH_wfhBQfe20RgEUdLGFb2x-euKMmg=w128-h128-e365-rj-sc0x00ffffff,"Use Hangouts to keep in touch. Message friends, start free video or voice calls, and hop on a conversation with one person or a group.
 * Include all your friends with group chats for up to 150 people.
 * Say more with photos, videos, maps, emoji, stickers, and animated GIFs.Turn any conversation into a free group video call with up to 10 friends.
 * Keep in touch with friends across Android, iOS, and the web, and sync chats across all your devices.
 * Message friends anytime, even if they’re offline.
 * Snooze your notifications so you can respond later.
 * See what you chatted about in the past, including shared photos and your video call history.
 * Keep a record of any conversation for just a short period of time by turning history off.
 * Connect your Google Voice account to make calls, send and receive SMS, and access your voicemail.

Hangouts Chrome extension:
 * Use Hangouts and get notifications as you move from tab to tab in Chrome, or even without a Chrome window open.
 * Position Hangouts anywhere on your screen, even if you have more than one monitor. Keep conversations in a single window or pop out the important ones. 
 * View and continue your conversations across devices.
 * Get notifications just once. After you see an alert, it’ll be removed on other devices.

Notes:
 * Unlike the Chat for Google app, Hangouts doesn’t support “invisible status”.
 * Mobile carrier and ISP charges may apply.",,[Contact the developer](mailto:mukunthan@google.com)[Privacy Policy](https://policies.google.com/privacy)
Pinterest Save Button,https://chrome.google.com/webstore/detail/pinterest-save-button/gpdjojdkbbmdfjfahjcgigfpmkopogic,Save your favorite ideas online so you can easily get back to them later.,9157201,3.6,9295,"December 8, 2020",Productivity,Offered by: pinterest.com,https://lh3.googleusercontent.com/Ppmi3felOOe_-vlSX3xwoKouaJErf4PiTk4Vi9muSRCjL6wATqMovhYFTJ2wc-qrRmZmbsGoTA=w128-h128-e365-rj-sc0x00ffffff,"It’s easier than ever to save and organize the ideas you like from all over the web with the Save to Pinterest button. With just a few clicks, you can keep track of all the tasty recipes, style inspiration, DIY projects and other ideas you want to try. 

The Save to Pinterest button also makes it easy to find ideas similar to those you like. Simply hover over an image and click the magnifying glass to discover more of what you’re interested in on Pinterest. 

To get started, just log in or sign up for a free account.

4.0.116 adds Bengali and Telegu language support, and an experiment to celebrate important Pinterest user milestones.",,[Contact the developer](mailto:support@pinterest.com)[Privacy Policy](https://policy.pinterest.com/en/privacy-policy)
Clever,https://chrome.google.com/webstore/detail/clever/nopfnnpnopgmcnkjchnlpomggcdjfepo,Allows students and staff to access apps in Clever Portal.,9142143,2.7,314,"September 23, 2020",Productivity,Offered by: Clever,https://lh3.googleusercontent.com/obXvUoMje0r9Jdgoya1OlcZhNM0EwyptIdZDGJYTGP0gBRwpUoSlhv4J57VfAEQrugpyZlpsIA=w128-h128-e365-rj-sc0x00ffffff,Clever is a Chrome Extension that enables students and teachers to log in to their applications.,English,"[Contact the developer](mailto:sso-extensions@clever.com)[Privacy Policy](https://clever.com/about/privacy-policy)

1263 mission st San Francisco, CA 94103 United States"
Adblock for Youtube™,https://chrome.google.com/webstore/detail/adblock-for-youtube/cmedhionkhpnakcndndgjdbohmhepckk,Removes ads from Youtube™.,8586177,4.3,134018,"October 9, 2020",Productivity,Offered by: AdRemover,https://lh3.googleusercontent.com/68NMeQ2igLEWI-7KQqrnhgRlz1d6hXnFGbL3_9nN5yl3czOJQXr6O_75zQTzN8ddDXxIIHMpAJM=w128-h128-e365-rj-sc0x00ffffff,"✓ Permissions: like common ad-blocking extensions we do need default permissions on every website to remove ads or popups for example on embedded videos and Youtube itself.

ⓘ About
Adblock for Youtube™ is a content filtering and ad blocking browser extension which blocks all ads on Youtube™.
It allows users to prevent page elements, such as advertisements, from being displayed. 
Banner, Ad-Clips or even preroll ads you usually see before the actual video on Youtube are blocked by this extension.

Features:
 + blocks ads, banner and popups
 + blocking of ads on external sites which load Youtube
 + prevent preroll ads from loading on Youtube
 + you can also remove annotations from videos and musics (see options page).
 + loads videos and YouTube website faster.

The technology is simply based on adblocking filterlists which blocks external ad urls on Youtube. We do not change anything on the website itself.
Adblock for Youtube boosts the performance to load websites (without ads and tracking)

It is free to download and use!

----------------------------------

✓ Privacy 

Any video adblock detection happens on your computer and we do not see or track.

You are welcome to review our open source code which is under the GPL3 License or send us a message in the support tab!

----------------------------------

★ Reviews - Users (we are proud of)

Eric Jones - ★★★★★
„I forgot what Youtube Ads look like“

Lea C. - ★★★★★
„Happy and Thank you! Great Adblock product for Youtube. Blocks all the necessary annoying ad pops and commercials..“

Marcel - ★★★★★
„Makes Youtube enjoyable again. I like to listen to the ""true scary story"" genre, and Youtube seems to drop an ad during those literally every 30 seconds. I can finally enjoy them again! Thank you Adblock Youtube!“

Dean Usikayo. - ★★★★★
""I love Ad Block for YoutubeIt's brilliant! It's also the best. No more ads. I use some other adblock extensions, but most of them miss blocking preroll ads on Youtube.“

Steva Palchow - ★★★★★
""Excellent Ad blocker for Youtube!1 Blocked all the unwanted & irritating ads! I cannot live without Ads on Youtube again„

Micha - ★★★★★
„Unfortunately i cannot afford Youtube Premium but got so distracted with all those ads, that i skipped many Youtube Videos! I am happy to use Adblock for Youtube to make Youtube great again (without so many ads and for free„


----------------------------------

 Changelog (latest first):

5.0.9 -   minor Bugfixes. Updated material ui
5.0.8 -   upgraded ad block deps with embedded videos
5.0.0 -   complete rewrite of Adblock for Youtube to be compliant with the Google Extension Webstore Terms

4.8.3 -   move to direct imports of adblock filterlists
4.8.3 -   updated locales, fixed adblock toolbox dependencies
4.5.0 -   removed some unused files and youtube filterlists of CRX package.
4.4.1 -   fixed case warnings and added missing dotenv dep
4.3.9 -   disabled eval for loading the adblock for Youtube list / urls.
4.3.8 -   removed adblock webextension polyfill completly
4.1.0 -   minor fix material ui design on Youtube.
4.0.5 -   improved install page for adblock onboarding.
4.0.3 -   cleaned up code minification (CWS compliant)


3.7.1 -   fixed case warning for Adblock on Youtube
3.6.2 -   updated adblock filterlists for Youtube and external sites
3.5.0 -   updated locales removed obsolete adblock html about page
3.4.0 -   complete adblock technology rewrite, cleaner code :)


This Chrome Webstore uses Google Analytics, a web analytics service provided by Google, Inc. (“Google”). Google Analytics uses “cookies”, which are text files placed on your computer, to help the website analyze how users use the site.
The information generated by the cookie about your use of the website will be transmitted to and stored by Google on servers in the United States . In case IP-anonymisation is activated on this website, your IP address will be truncated within the area of Member States of the European Union or other parties to the Agreement on the European Economic Area. Only in exceptional cases the whole IP address will be first transfered to a Google server in the USA and truncated there. The IP-anonymisation is active on this website.
Google will use this information on behalf of the operator of this website for the purpose of evaluating your use of the website, compiling reports on website activity for website operators and providing them other services relating to website activity and internet usage. The IP-address, that your Browser conveys within the scope of Google Analytics, will not be associated with any other data held by Google. You may refuse the use of cookies by selecting the appropriate settings on your browser, however please note that if you do this you may not be able to use the full functionality of this website.
You can also opt-out from being tracked by Google Analytics with effect for the future by downloading and installing Google Analytics Opt-out Browser Addon for your current web browser: http://tools.google.com/dlpage/gaoptout?hl=en or you can uninstall this extension. Thank you.",,[Contact the developer](mailto:airmailmessage@gmx.net)
